Model,Precision,Recall,F1-score,ROC-AUC,PR-AUC
XGBoost,0.893000,0.834000,0.862492,0.971000,0.881000
Autoencoder,0.521000,0.598000,0.556851,0.906000,0.487000
Isolation Forest,0.486000,0.561000,0.520814,0.891000,0.452000
Ensemble,0.945000,0.241000,0.384056,0.953000,0.831000
